"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1YifzovUWtHqLAKlme4Iav","The Red Truth","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","spotify:album:5fPb6Ef7P5uPSmVIyNRvhj","Caesura","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","2008-11-10","https://i.scdn.co/image/ab67616d0000b2732bcd4a089e495e67fabed995","1","6","278706","https://p.scdn.co/mp3-preview/1ccbf398fa2325e0417867c63b4ae09deee2829d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","GBJSN0804206","spotify:user:12149955269","2015-06-28T04:30:53Z"
"spotify:track:0B64UNTDsWHRqZ2o5iIxBm","Gusts of Wind Blowing in Different Directions","spotify:artist:69sFt37arbuC0hGSFAoWqZ","The Last Dinosaur","spotify:album:711BUAij7FQyF93WPaBuh8","Hooray! For Happiness","spotify:artist:69sFt37arbuC0hGSFAoWqZ","The Last Dinosaur","2010-04-14","https://i.scdn.co/image/ab67616d0000b2737ad11aaccf2e3f73b4d44e3d","1","4","141186","","false","0","USA4D1040504","spotify:user:12149955269","2015-06-28T04:33:54Z"
"spotify:track:2POh75IGOgdHVi9cXeSKiy","Light the Night","spotify:artist:7pTS4RiG0sM9TijxQJz8f6","Tracey Chattaway","spotify:album:5OUJezYQ1Am5V3DKIiWlos","Nightsky","spotify:artist:7pTS4RiG0sM9TijxQJz8f6","Tracey Chattaway","2015-02-19","https://i.scdn.co/image/ab67616d0000b273dce4ccc65f7014f35c1ad092","1","2","292889","https://p.scdn.co/mp3-preview/f8892fceaedfe4572d8a23727294b78b2e65e6e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","AULYA1500054","spotify:user:12149955269","2015-06-28T05:27:56Z"
"spotify:track:2OuACwejkbRvb8vomGmak7","Hibernation","spotify:artist:2FIKDET7MkO9hQgSyIW9ia","Random Forest","spotify:album:1JLRPkXnnI9Gj5xrG8UAXl","Hibernation","spotify:artist:2FIKDET7MkO9hQgSyIW9ia","Random Forest","2014-11-28","https://i.scdn.co/image/ab67616d0000b273989b98ee21a72cc93d3e8861","1","1","306000","https://p.scdn.co/mp3-preview/6ed152cfd86346613d43ad021d3ed464f9657c80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TCACC1414520","spotify:user:12149955269","2015-06-29T01:10:11Z"
"spotify:track:2q9NIEbISG7bz75Ofb3FWE","Shimmer","spotify:artist:7pTS4RiG0sM9TijxQJz8f6","Tracey Chattaway","spotify:album:5ch7UKRAKaXctfrbyYGVDD","Third Place","spotify:artist:7pTS4RiG0sM9TijxQJz8f6","Tracey Chattaway","2013-10-16","https://i.scdn.co/image/ab67616d0000b273054ca9ca96380f65665a892d","1","4","212635","https://p.scdn.co/mp3-preview/03d6a34816ed1eb488f7c7c8cce32747f600d1ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","AULYA1300047","spotify:user:12149955269","2015-06-29T01:17:10Z"
"spotify:track:0LF29vtBiXGfFdLzq0dkdo","Glow","spotify:artist:3ff1CmU6qfTqRAmdrq8EEG","Lights & Motion","spotify:album:0VIxw6zt84N7sWxGzgXEOU","Chronicle","spotify:artist:3ff1CmU6qfTqRAmdrq8EEG","Lights & Motion","2015-01-13","https://i.scdn.co/image/ab67616d0000b2739f6c153c24c1733a2de8154b","1","2","256693","https://p.scdn.co/mp3-preview/3de5f1098d204b1d29f557a7de2510745ba4234d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","US4KH1556002","spotify:user:12149955269","2015-06-29T01:41:32Z"
"spotify:track:4lwGyv3tbahmN1Z25wdCxa","Truth (Helios Remix)","spotify:artist:1U0FaHAc4fcwQcYEJFgkm9","Balmorhea","spotify:album:4K8rm4KevTLvvTSyWx5yjO","All Is Wild, All Is Silent Remixes","spotify:artist:1U0FaHAc4fcwQcYEJFgkm9","Balmorhea","2009-08-04","https://i.scdn.co/image/ab67616d0000b273af76ffb7d07820802e097d94","1","9","225480","","false","0","US78L0910060","spotify:user:12149955269","2015-06-29T01:45:30Z"
"spotify:track:2Sd7KgjJDMc7vhDe64nBpi","Branch","spotify:artist:2X8UJm1TVQT3Nl6kUMYyoq, spotify:artist:58vAPNWfb4STwW9IWvSlLG","Keith Keniff, Keith Kenniff","spotify:album:4IbKXPIjP2Okg0Php81yFN","Branches","spotify:artist:58vAPNWfb4STwW9IWvSlLG","Keith Kenniff","2012-01-30","https://i.scdn.co/image/ab67616d0000b273e63da213ccd87b6d99771ff6","1","3","125680","","false","0","GB7FT1100063","spotify:user:12149955269","2015-06-30T13:59:36Z"
"spotify:track:2TgGlxFm2D0Abt4Iao9pEF","First Fall","spotify:artist:20lGLFmdtadbUYmqzFRcA2","The Echelon Effect","spotify:album:6ivAgfz6fzB5SFAzGUbp9g","Sierra","spotify:artist:20lGLFmdtadbUYmqzFRcA2","The Echelon Effect","2014-11-03","https://i.scdn.co/image/ab67616d0000b273816197a6d7f0250ba6968a42","1","2","500000","https://p.scdn.co/mp3-preview/40c710079298865268f84002ae8c037fbbc3c26b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","TCACB1432323","spotify:user:12149955269","2015-06-30T14:15:18Z"
"spotify:track:2mRiYprn1Ia7kVevhMvuRG","It's Dark It's Cold It's Winter","spotify:artist:0EnDtiDrCgklr97QMJOSPv","sleepmakeswaves","spotify:album:0LIWspLkmDTD5VTigHDE02","sleepmakeswaves (USA)","spotify:artist:0EnDtiDrCgklr97QMJOSPv","sleepmakeswaves","2012-01-12","https://i.scdn.co/image/ab67616d0000b273f9e4ce857ce6c1a3cee41c0b","1","6","290440","https://p.scdn.co/mp3-preview/3d97ec4b69e627ee3bb0b38f98cef7bfe54e0e9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","AUAJ11100079","spotify:user:12149955269","2015-06-30T14:46:02Z"
"spotify:track:065vK7cbEKoAwb3r0s8uOZ","Monterey","spotify:artist:20lGLFmdtadbUYmqzFRcA2","The Echelon Effect","spotify:album:3OgAMu5xK0ReqRQYMzaDGY","Pacific","spotify:artist:20lGLFmdtadbUYmqzFRcA2","The Echelon Effect","2014-06-16","https://i.scdn.co/image/ab67616d0000b273e38287e1715b3698366f40ac","1","4","421457","https://p.scdn.co/mp3-preview/14165d2aeba359a111c1881ba5e626e066c3af67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TCABY1402207","spotify:user:12149955269","2015-06-30T14:52:54Z"
